province,name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating,animates
An Giang,Phú Sĩ Homestay Núi Cấm,https://www.facebook.com/phusihomestay?mibextid=ZbWKwL,Không có mô tả,480442,"Núi Cấm, Cảng Hàng Không Quốc Tế Cần Thơ, Nhà hàng Hoa Anh Đào cáp treo núi Cấm",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipO-NCWVsDrij14KwwXImMDCl6mbCNXtnmAVx4D0=s10000,3.7,Wi-Fi
An Giang,Hanvy Garden,Không có link,Không có mô tả,0,"Nhà thờ Chánh toà Long Xuyên, Cảng Hàng Không Quốc Tế Cần Thơ, Nhà Hàng Hai Lúa Đồng Quê",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMd8frtdmEff5uyWLCaIJkEXMQVW2Xccwn8H559=s10000,3.2,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,LITTLE SÀI GÒN HOTEL,Không có link,Không có mô tả,950000,"Miếu Bà Chúa Xứ Núi Sam, Cảng Hàng Không Quốc Tế Cần Thơ, Hội Quán Châu Đốc",Khách sạn 3 sao,https://lh5.googleusercontent.com/p/AF1QipOz9OJWfT3AU46yU3O8a9AjkEdfDLiT22n7bac=s10000,4.2,"Breakfast ($), Free Wi-Fi, Free parking, Air conditioning, Bar, Restaurant, Room service, Kitchen in some rooms, Full-service laundry"
An Giang,LÁ HOMESTAY 1,Không có link,Không có mô tả,1556290,"Chợ Nổi Long Xuyên, Cảng Hàng Không Quốc Tế Cần Thơ, Nhà Hàng Hải Sản Long Xuyên",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipORVqO4rbplN6PNZnCTp7VBYrekFZWquIPvypOl=s10000,2.9,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,Humble Escape!,Không có link,Không có mô tả,3590650,Cảng Hàng Không Quốc Tế Cần Thơ,Không có hạng sao,https://media.vrbo.com/lodging/101000000/100890000/100883500/100883434/w518h683x248y0-11e99766.jpg,3.2,"Điều hòa nhiệt độ, Chấp nhận vật nuôi, Không hút thuốc, Máy giặt, Wi-Fi miễn phí"
An Giang,ALPHA HOMESTAY MARINA 2 Phòng Ngủ View Sông,https://www.booking.com/hotel/vn/alpha-home-stay-marina-2-phong-ngu-view-song.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9912385_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9912385;utm_campaign=en,Không có mô tả,1080993,"Cảng Hàng Không Quốc Tế Cần Thơ, JOKI ENKAI - Nhà Hàng Hấp Thuỷ Nhiệt Nhật Bản",Không có hạng sao,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlZFsp563N_OGM1W5i5yWB5eIOmcvefg-AjSE-VlFaBX1aKvluWkyYCa_SkpNgPE7XLEEs4-MBgeOL5Cc1eW9YOr10yAXYsc-Pk9K-qaIOvVnIt1gzJ1rg==.jpg,4.4,"Điều hòa nhiệt độ, Bếp"
Bà Rịa - Vũng Tàu,The Song Condotel Vũng Tàu - Michic home - Two-Bedroom Apartment,https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=House&accomodationids=65cab3f0671b07d23c6f1a1e,Không có mô tả,750189,"Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng cơm niêu - bia tươi Đức La Vita",Không có hạng sao,https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/394083236.jpg?k=9cea75f7e2f0ec531415ef44dfb60909b4a6975fe0a39eb324f23919971e5cdc&o=,3.2,"Điều hòa nhiệt độ, Ban công, Có đường ra bãi biển, Phù hợp với trẻ em, Giường cũi, Thang máy, Trung tâm thể dục, Bồn tắm nước nóng, Bể bơi trong nhà, Bếp, Bể bơi ngoài trời, Truyền hình cáp, Máy giặt, Có lối đi cho xe lăn, Đỗ xe miễn phí, Wi-Fi miễn phí"
Bà Rịa - Vũng Tàu,The Sóng Apartment - ViViVilla HomestayHotel Vũng Tàu - One-Bedroom Apartment,https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=House&accomodationids=65cab168671b07d23c6f0284,Không có mô tả,715565,"Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng cơm niêu - bia tươi Đức La Vita",Không có hạng sao,https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/502879501.jpg?k=9f30f6e9a78d8208c331e66a9f64f45d95b2bf5063d8ac91510a57796c9d5b7a&o=,3.2,"Điều hòa nhiệt độ, Ban công, Có đường ra bãi biển, Phù hợp với trẻ em, Giường cũi, Thang máy, Trung tâm thể dục, Bồn tắm nước nóng, Kệ bàn là, Bếp, Lò vi sóng, Bể bơi ngoài trời, Lò nướng, Sân hiên, Không hút thuốc, Truyền hình cáp, Máy giặt, Có lối đi cho xe lăn, Đỗ xe miễn phí, Wi-Fi miễn phí"
Bà Rịa - Vũng Tàu,The Sóng Luxury Apartmaet -Nghi homesty Vung tau,https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=Apartment&accomodationids=65c9d2f0671b07d23c674678,Không có mô tả,557833,Cảng hàng không quốc tế Tân Sơn Nhất,Không có hạng sao,https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/464963612.jpg?k=9c3f6d6fb6e340265c102527c723b6ae9a53b8acd19c3de94f30a324dc0d39a0&o=,3.2,"Điều hòa nhiệt độ, Ban công, Có đường ra bãi biển, Phù hợp với trẻ em, Giường cũi, Trung tâm thể dục, Bể bơi trong nhà, Kệ bàn là, Bếp, Lò vi sóng, Lò nướng ngoài trời, Bể bơi ngoài trời, Lò nướng, Sân hiên, Không hút thuốc, Truyền hình cáp, Có lối đi cho xe lăn, Đỗ xe miễn phí, Wi-Fi miễn phí"
Bà Rịa - Vũng Tàu,Leo House - The Song Building (Angia),https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=House&accomodationids=64860e1d7f7e24c1922e98e7,Không có mô tả,522183,"Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng cơm niêu - bia tươi Đức La Vita",Không có hạng sao,https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/419257935.jpg?k=8e21af4eb035aba12188d737bebc181918202f7be11f4845e8434d2145e8652c&o=,3.2,"Điều hòa nhiệt độ, Ban công, Bếp, Không hút thuốc, Truyền hình cáp, Máy giặt, Đỗ xe miễn phí"
Bà Rịa - Vũng Tàu,An An Apartment - The Sóng - Căn hộ cao cấp 5 sao,https://www.bluepillow.com/search?p_id=589de3d77c00cb10c8d92bad&dest=bkng&cat=House&accomodationids=65cad79b671b07d23c70d028,Không có mô tả,730954,Cảng hàng không quốc tế Tân Sơn Nhất,Không có hạng sao,https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/450540106.jpg?k=ebbf1794ea2dac3b7268b1f1df274da33c31eae092d572b59fab6aec7cae1d61&o=,3.2,"Điều hòa nhiệt độ, Ban công, Phù hợp với trẻ em, Giường cũi, Thang máy, Kệ bàn là, Bếp, Lò vi sóng, Bể bơi ngoài trời, Lò nướng, Sân hiên, Chấp nhận vật nuôi, Không hút thuốc, Truyền hình cáp, Máy giặt, Có lối đi cho xe lăn, Wi-Fi miễn phí"
Bà Rịa - Vũng Tàu,Joi Hospitality - Central,https://joihospitality.vn/,"Khách sạn bình dân và tinh tế, có nhà hàng thoáng mát cùng phòng ốc bài trí đơn giản và có tủ lạnh nhỏ.",282150,"Bãi Trước, Bến Xe Vũng Tàu, Cảng hàng không quốc tế Tân Sơn Nhất, Quán Ốc Thiên Nhiên 2",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOoDFThTxCHIy7M_V30Ysd_zvcRtv3ZFzkwRUyv=s10000,4.4,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,LÚA FARMSTAY - Khu Nghỉ Dưỡng Sinh Thái,https://www.facebook.com/Luafarmstay?mibextid=LQQJ4d,Không có mô tả,864321,"Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng - Quán ăn Gia Mẫn Láng Dài",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNLYpy67cTWPi_zRO-LeUhhkaIsIru66FFmx_iE=s10000,2.9,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,CAROLINE BEACH VUNG TAU,https://www.booking.com/Pulse-rEPu4D,Không có mô tả,594000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, Quach’s Seafood Restaurant",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPTPocNErxQs4cCZQEi_hclMxKQHjs9kvcH-NmJ=s10000,4,"Breakfast ($), Free Wi-Fi, Free parking, Indoor pool, Air conditioning, Pet-friendly, Beach access, Bar, Restaurant, Room service, Full-service laundry, Accessible, Child-friendly, Smoke-free property"
Bà Rịa - Vũng Tàu,Minh Hai Resort & Restaurant,http://www.minhhairesort.vn/,Không có mô tả,1700942,"Chùa Đại Tùng Lâm, Ngã 3 Mỹ Xuân, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà Hàng Minh Hải",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNOhdZ6WAsB2bYfoZp2CRnwRcWA3wk8rdJ2GxMv=s10000,3,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Air conditioning, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Smoke-free property"
Bà Rịa - Vũng Tàu,Hotel & Homestay Labubu Vũng Tàu,Không có link,Không có mô tả,302400,"Linh Son Ancient Temple, Cảng hàng không quốc tế Tân Sơn Nhất, Cơm Niêu Đại Việt _ Com Ngon Vung Tau",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOSfgRwflvbYK3tctdKjWmKnl2SzGu6oE7KpLwB=s10000,4.3,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,Ngọc Huyền Hotel Vũng Tàu - Lê Trọng Tấn,https://www.booking.com/hotel/vn/ngoc-huyen-cn2-le-trong-tan-vung-tau.vi.html,Không có mô tả,360000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, C.Tao Chinese Restaurant - Vũng Tàu",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNQmjdWScJ1O_nAUaM-XPkAbp0Ilm8EJGzg0uJe=s10000,3.6,"Free Wi-Fi, Free parking, Air conditioning, Room service, Airport shuttle, Full-service laundry, Smoke-free property"
Bà Rịa - Vũng Tàu,Seasons Hotel,Không có link,Không có mô tả,540000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà Hàng Gành Hào 2",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOaqz-6qXrZgVaQGFx30X_o6nd97H4lIW3rB0Hq=s10000,4.1,"Free breakfast, Free Wi-Fi, Parking, Beach access, Full-service laundry"
Bà Rịa - Vũng Tàu,Babylon Mini Resort,http://babylonresort.vn/,Không có mô tả,1500000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà Hàng Ẩm Thực Chay BaNa Vegetarian Restaurant",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNQoupVq7duDGNi_kpxRVggWdvz_YX-Z0nLSdsQ=s10000,3,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,Xing Ocean Homestay & Coffee Vũng Tàu,https://www.facebook.com/xingoceanhomestayvungtau?mibextid=PtKPJ9,Không có mô tả,1103356,"Chùa Hộ Pháp (Thích Ca Phật Đài), Cảng hàng không quốc tế Tân Sơn Nhất, Nhà Hàng hải sản Lâm Đường - Vũng Tàu",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPm1GXrdNmgSai3ghHqVQFxVhnYWK5RW25z9Bc=s10000,3.6,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,Sunrise Hotel,Không có link,Không có mô tả,702000,"An Sơn Miếu - Miếu Bà Phi Yến, Cảng Hàng không Côn Đảo, Beach House Restaurant & Cocktails Côn Đảo",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMll0TCmWAjZcUCnY65H_eUyS3a9ujKWaHOn_6g=s10000,2.1,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,The Sóng Vũng Tàu,https://thesongvungtau.net/,Không có mô tả,500000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng cơm niêu - bia tươi Đức La Vita",Không có hạng sao,https://images.trvl-media.com/lodging/93000000/92990000/92980400/92980324/82690413_z.jpg,3.1,"Free Wi-Fi, Parking ($), Outdoor pool, Hot tub, Air conditioning, Fitness centre, Spa, Beach access, Restaurant, Kitchen in rooms, Airport shuttle, Full-service laundry, Accessible, Smoke-free property"
Bà Rịa - Vũng Tàu,Sea View Hotel,Không có link,"Khách sạn bình dân hướng biển và núi với các phòng được bài trí đơn giản, có nhà hàng.",467682,"Đèo Nước Ngọt, Cảng hàng không quốc tế Tân Sơn Nhất, Quán Hải Sản Tuấn Kiệt",Khách sạn 2 sao,https://lh5.googleusercontent.com/p/AF1QipP5nsmObAcr891yqMn-5zvQ121oQVN5K9J5fxzE=s10000,3.8,"Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Beach access, Restaurant, Airport shuttle, Full-service laundry, Child-friendly"
Bà Rịa - Vũng Tàu,Khu Nghỉ dưỡng Caroline Resort,https://www.booking.com/Pulse-Ym9vg6,Không có mô tả,410810,"Bãi biển Long Cung, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà Hàng Hải Sản Gia Phát",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPO30IK6FnGbS-zsYPjkkP0TUvC9nR2R9zf50Sd=s10000,2.5,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Air conditioning, Pet-friendly, Beach access, Bar, Restaurant, Room service, Airport shuttle, Full-service laundry"
Bà Rịa - Vũng Tàu,La Casa Hotel,Không có link,Không có mô tả,700000,"Linh Son Ancient Temple, Cảng hàng không quốc tế Tân Sơn Nhất, Belly's Watering Hole",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNsnEuHcj1YlmqFjdRL3wAz7WS845WXw2VEvyZO=s10000,4.6,"Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Pet-friendly, Airport shuttle, Full-service laundry, Smoke-free property"
Bà Rịa - Vũng Tàu,VINSEN HOTELS & RESORTS,https://vinsen.vn/,Không có mô tả,675000,"Bãi Trước, Cảng hàng không quốc tế Tân Sơn Nhất, Nhà hàng cơm niêu - bia tươi Đức La Vita",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOKmD_Zh6obwlB85nArC5-P7vnKsTVOR_-bAOyT=s10000,3.1,"Breakfast ($), Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Pet-friendly, Fitness centre, Spa, Restaurant, Room service, Kitchen in rooms, Airport shuttle, Golf, Full-service laundry, Accessible, Business centre, Child-friendly, Smoke-free property"
Bắc Giang,Marina Hotel Bac Giang,Không có link,Không có mô tả,586987,"Thành cổ Xương Giang, Cảng hàng không Quốc tế Nội Bài, Nhà hàng Tuấn Đạt",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMpXyr2OG0G0hCbL8G9EB-DLGYfw42yYBlu2we2=s10000,3.4,"Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Bar, Room service, Kitchen in some rooms, Full-service laundry, Accessible, Child-friendly"
Bắc Giang,Hotel Cozy VIP,http://khachsanbacgiang.com/,Không có mô tả,415820,"Đền Chùa Vẽ, Cảng hàng không Quốc tế Nội Bài, Nhà hàng ngựa hoang quý giang",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPyuZvxTccGB_QZJoRexFuuJ3vf1mUH0LX5ScV_=s10000,2.5,Free parking
Bắc Giang,KHÁCH SẠN THẮNG LỢI BẮC GIANG,Không có link,Không có mô tả,544999,"Thành cổ Xương Giang, Cảng hàng không Quốc tế Nội Bài, Nhà hàng 8286",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMangRk8lCwpn5rGvf1CB6KU4ByrRUQSL6gY96w=s10000,3.2,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bắc Giang,Khách sạn Mường Thanh Grand Bắc Giang,Không có link,"Phòng ốc ấm cúng, một số phòng có bồn tạo sóng và nhìn ra thành phố, trong khách sạn cao cấp có spa và bể bơi.",1420359,"Quảng trường 3/2 TP. Bắc Giang, Cảng hàng không Quốc tế Nội Bài, Nhà Hàng Anh Đào",Khách sạn 4 sao,https://images.trvl-media.com/lodging/10000000/9600000/9590300/9590288/d4ffcc66_z.jpg,3.4,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Fitness centre, Spa, Bar, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible, Business centre, Child-friendly"
Bắc Giang,Mandala Hotel & Suites Bắc Giang,https://bacgiang.mandalahotels.com.vn/,Không có mô tả,0,"Thành cổ Xương Giang, Cảng hàng không Quốc tế Nội Bài, Mandala Dimsum Corner",Khách sạn 5 sao,https://lh5.googleusercontent.com/p/AF1QipMdzntKHOsL3xxDwZ1ESyKgG31iL7Q8Wgh81h8D=s10000,3.3,"Free breakfast, Free Wi-Fi, Free parking, Indoor pool, Air conditioning, Bar, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Child-friendly, Smoke-free property"
Bắc Giang,Sky Hotel,Không có link,Không có mô tả,789430,"Đền Xương Giang, Cảng hàng không Quốc tế Nội Bài, Nhà Hàng Khánh Ly",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOB0AFowPrgHuiof-WZGi5Kom6JBla2MdmAvhxM=s10000,2.3,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bắc Giang,RAVATEL LUXURY HOTEL BAC GIANG,http://ravatel.vn/,Không có mô tả,1348142,"Công viên Hoàng Hoa Thám, Cảng hàng không Quốc tế Nội Bài, Nhà Hàng Hải Sản Ghẹ Xanh Bắc Giang",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipO0WM1341gfVF0Jp3leYYDcSVsmoTLtM2Hw8PZA=s10000,2.9,"Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness centre, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Child-friendly"
Bắc Giang,Khách sạn Hương Sen - Trung tâm chăm sóc sức khỏe,https://khachsanhuongsen.hotelonia.com/,Không có mô tả,345864,"Công viên Hoàng Hoa Thám, Cảng hàng không Quốc tế Nội Bài, Nhà Hàng Hải Sản Ghẹ Xanh Bắc Giang",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOAo0ZBegAFoohiYUMNkzElLihTQR_Kbqnl7vCe=s10000,3,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
Bắc Giang,KHÁCH SẠN THẮNG LỢI 2 BẮC GIANG,Không có link,Không có mô tả,800000,"Bách Việt Lake - Hồ Bách Việt, Cảng hàng không Quốc tế Nội Bài, Nhà Hàng Khánh Ly",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPBId8XJGlCMPHFoHxjne8L8FpsgLMopWLkQulP=s10000,2.5,"Free Wi-Fi, Free parking, Hot tub, Air conditioning, Airport shuttle, Full-service laundry, Accessible"
Bắc Giang,Sojo Hotel Bac Giang,http://sojohotels.com/,Không có mô tả,1309049,"Thành cổ Xương Giang, Cảng hàng không Quốc tế Nội Bài, Mandala Dimsum Corner",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPje72S_Cp46qhlcCP_xUivntjSz9vBpwWnjKq1=s10000,3.3,"Free breakfast, Free Wi-Fi, Free parking, Fitness centre, Restaurant, Full-service laundry, Smoke-free property"
Bắc Giang,Korea Hotel Bac Giang,https://www.facebook.com/Koreahotelbacgiang/?modal=admin_todo_tour,Không có mô tả,1014615,"Thành cổ Xương Giang, Cảng hàng không Quốc tế Nội Bài, Nhà Hàng Bốn Mùa",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipONJlJk5XQagBlDa5Fbs7jqQHCKw-69WnzDlyRx=s10000,3.2,"Free Wi-Fi, Free parking, Air conditioning, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Child-friendly, Smoke-free property"
