name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating
An Suối Garden Camp,https://www.facebook.com/profile.php?id=100091769983348,No description,0,"Hồ Đá Đồi Tà Pạ, Can Tho International Airport, Bamboo Tri Tôn",No class,"https://lh5.googleusercontent.com/p/AF1QipNmAG5HUxuRw6Pf0EEZF-R2z2pcuyUtuHNUM3rE=s10000, https://lh5.googleusercontent.com/p/AF1QipMyHSkBASagQaUHnWKij9GLm-nsAJ_MC1xj0e35=s10000, https://lh5.googleusercontent.com/p/AF1QipM-kcNGmVOvqiXSHkwL3WfIgrJ1FoXgM9B6AGuY=s10000, https://lh5.googleusercontent.com/p/AF1QipMlnZWLcI0Hxzq2g9jzZSwfPrbCHXiUzpHqii8k=s10000, https://lh5.googleusercontent.com/p/AF1QipMBBNXG-KMFt1VlF4C9OVSMktN4R6CGkNtAGb9n=s10000, https://lh5.googleusercontent.com/p/AF1QipMkBYZ7Bfzg6FGcGizcpEHPmTM5DVTd5YlC9cc6=s10000, https://lh5.googleusercontent.com/p/AF1QipPQh16MaAzScPjvPspv0nP4HqS95FMmTEci8B3S=s10000, https://lh5.googleusercontent.com/p/AF1QipOcZzT6h_Kx0hMsrEOx7bEF7NzGIuojdq-oVuLE=s10000, https://lh5.googleusercontent.com/p/AF1QipNOnFNDCb-Qrh2IFZutCeXANhsqy40YVzj37jxE=s10000",3.0
Resort Sang Như Ngọc,No link,No description,204450050000,"Khu du lịch Lâm Viên Núi Cấm, Can Tho International Airport, Quán cơm Như Loan",No class,"https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/5332efb7_z.jpg, https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/1e0dd51d_z.jpg, https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/45de4028_z.jpg, https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/af777840_z.jpg, https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/588742e0_z.jpg, https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/daeb1be7_z.jpg, https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/93873422_z.jpg, https://lh5.googleusercontent.com/p/AF1QipPAnx6ibiNyOoPs7DmEBHPn400c8R87j-EWg2Xh=s10000, https://lh5.googleusercontent.com/p/AF1QipOjDR0Qvn1_q4eSx9kJf_UROKC08jvb738dPJJ-=s10000",3.9
LÁ HOMESTAY 1,No link,No description,152451250000,"Long Xuyen Floating Market, Can Tho International Airport, Tiệm Nhà Anna",No class,"https://lh5.googleusercontent.com/p/AF1QipORVqO4rbplN6PNZnCTp7VBYrekFZWquIPvypOl=s10000, https://lh5.googleusercontent.com/p/AF1QipPpopmjERcqEWn8EezGgGLrEo6FUUfBgzniANhP=s10000, https://lh5.googleusercontent.com/p/AF1QipMjBK_IwDhQOhR-kHnNebioWgXpbqlM7mmwa6eU=s10000, https://lh5.googleusercontent.com/p/AF1QipO42r_Xaw6OIwM_QVlAda2SjwhbluGy7dqWsDhA=s10000, https://lh5.googleusercontent.com/p/AF1QipPxL9SecxZSIoGJ4upZCOwI9duIfbxXpD_zToX6=s10000, https://lh5.googleusercontent.com/p/AF1QipPlN2mXoaifNplGgaj7p8vnLjx0KGtVZIgFNLDi=s10000, https://lh5.googleusercontent.com/p/AF1QipMf8RIsOrTWsuea8Dn3tTGnYAUtrNE5-CQPO7HU=s10000, https://lh5.googleusercontent.com/p/AF1QipPrOdY6vOSEn60Oo08LIayjmpLwJ1vb1XgopQ97=s10000, https://lh5.googleusercontent.com/p/AF1QipNBqY-hoJ22YWYo8bTiYPWZbyoi_x-fGoMXddql=s10000",2.9
Cherry Homestay,No link,No description,152562480000,"Thánh đường hồi giáo Jamuil Azhar Mosque, Can Tho International Airport, Quán Hải Sản Cà Mau",No class,"https://lh5.googleusercontent.com/p/AF1QipOlBxOn3jId2rKC0QIrbzterIOVnI9wTRjasjQ3=s10000, https://lh5.googleusercontent.com/p/AF1QipNlvwwtMMvYrQo_O7I3s8iQ40TYMHo0IVxQhmdX=s10000, https://lh5.googleusercontent.com/p/AF1QipPo0OiePKO2tPx2PRPT_dmyttF6_yUFWnD3B10v=s10000, https://lh5.googleusercontent.com/p/AF1QipMttnbbjLcV-vNGSlIbQbgLMaIE2okWaVC7CSJ2=s10000, https://lh5.googleusercontent.com/p/AF1QipMWLxgK-yOcUPtQ6aG7R8-MSC47BOiDwjqjp8Gw=s10000, https://lh5.googleusercontent.com/p/AF1QipOfNuzgdZtEIf8JXBmA8RWKRT6yXphiTbkeLJKs=s10000, https://lh5.googleusercontent.com/p/AF1QipM-1wZZmXn7yCCawR_KmyMIJMtVB54ZnpsfeUJ4=s10000, https://lh5.googleusercontent.com/p/AF1QipO2My6N41DJSvLZ6VZLiY3gP8iN_P7Aht_dLXWp=s10000, https://lh5.googleusercontent.com/p/AF1QipO2tjphS3Ekdx8NWzozcalsDHd95KStHuIM9jcr=s10000",3.0
Lá Homestay Garden,No link,No description,200636380000,"Long Xuyen Floating Market, Can Tho International Airport, Tiệm Nhà Anna",No class,"https://lh5.googleusercontent.com/p/AF1QipMWjROeqGMkZMZsnjrR2CEbs44Ehaquzow3lgvO=s10000, https://lh5.googleusercontent.com/p/AF1QipO2IkVd1oXEYbwAV93ABu3KFDv6stIXXJaPNkIT=s10000, https://lh5.googleusercontent.com/p/AF1QipNZLhVQswig2DnkAlD651rR1E7KD7Ccev7hXsvN=s10000, https://lh5.googleusercontent.com/p/AF1QipOkF29iuh3aX1t0yO44NfQVSnF_mv3BXQ7L_2rw=s10000, https://lh5.googleusercontent.com/p/AF1QipOWit4puIH8wIvc0wJZ5O4rmcYQgTPAC93jDmh1=s10000, https://lh5.googleusercontent.com/p/AF1QipP67iXq0jXCAGG5v0L1pYcI4q1Hl__N6HwlsTBF=s10000, https://lh5.googleusercontent.com/p/AF1QipN31MBI4RIt-o_6VUHMmCzAciHhr2SWUTSCAYPU=s10000, https://lh5.googleusercontent.com/p/AF1QipMZ2GC-hLqtt_9rOyRekVhuFPvPvdDAAfylZZAM=s10000, https://lh5.googleusercontent.com/p/AF1QipOSfumcN8e41TjOa8xzR7rsOTWU7oUhcjZ9r3sh=s10000",2.9
Phú Sĩ Homestay & Seafood Núi Cấm,https://www.facebook.com/phusihomestay?mibextid=ZbWKwL,No description,58827440000,"Bảy Núi, Can Tho International Airport, Nhà Hàng Sinh Thái Hoa Sen",No class,"https://lh5.googleusercontent.com/p/AF1QipOxusi7W8rw1A7V-GgrUS7Z7OTd1jkYXDVCp9nv=s10000, https://lh5.googleusercontent.com/p/AF1QipPu6KDiVqOeuOb0vXWR3pCOR3xWOfY9kqwsBuao=s10000, https://lh5.googleusercontent.com/p/AF1QipNKo4f_NOs2_x3Hs7sK_kMAA9066DREKcd82WgV=s10000, https://lh5.googleusercontent.com/p/AF1QipO-NCWVsDrij14KwwXImMDCl6mbCNXtnmAVx4D0=s10000, https://lh5.googleusercontent.com/p/AF1QipMibo-Td0YF4j4gvWE6jSwFda4xQuL3IJnHUaso=s10000, https://lh5.googleusercontent.com/p/AF1QipOCTtH-G6YHGXsp0nYhM93zw0P8Pwco42IjN_tf=s10000, https://lh5.googleusercontent.com/p/AF1QipOWsYE7UVQ60pEncxYKRNE-7OFJLpOdy5FBHC-e=s10000, https://lh5.googleusercontent.com/p/AF1QipPrLjgKnvxE6DdJ8csYQtJYkmWiJfb7a7GqnoQo=s10000, https://lh5.googleusercontent.com/p/AF1QipM2VTXvcFOpSQ6rD1Zs66yBgD7npB8KMAy5edVS=s10000",3.7
Hanvy Garden,No link,No description,0,"Long Xuyen Cathedral, Can Tho International Airport, Nhà Hàng Hai Lúa Đồng Quê",No class,"https://lh5.googleusercontent.com/p/AF1QipMd8frtdmEff5uyWLCaIJkEXMQVW2Xccwn8H559=s10000, https://lh5.googleusercontent.com/p/AF1QipNRxxWOUBz1zUgp23iNNTFhThJNoAp30-yJhHv5=s10000, https://lh5.googleusercontent.com/p/AF1QipM7oqcOTNAIng1Dxy0cunpAJZBDPSAHT5g1CZ18=s10000, https://lh5.googleusercontent.com/p/AF1QipO91sEj9NlI0kqI3CunlE0PjPpcFe3vLnR3ZHJV=s10000, https://lh5.googleusercontent.com/p/AF1QipMatdL7Uduxm3ZvPQMuIWptODWPXzVNKRiInuP_=s10000, https://lh5.googleusercontent.com/p/AF1QipNGxFrzCVzJGcgf0upECMV7MFCXXLiqLQc1wYPK=s10000, https://lh5.googleusercontent.com/p/AF1QipPG0DqdpsTwe9khmK6fv0DdYed72NdJopv1fcpq=s10000, https://lh5.googleusercontent.com/p/AF1QipP6ffw8w9_chflv6kztKKMKa1kjfigntmI1Azt1=s10000, https://lh5.googleusercontent.com/p/AF1QipNhg8tsEjg017FZeccEAhUfeM8GeU77fCxIW5sq=s10000",3.2
LITTLE SÀI GÒN HOTEL,No link,No description,146975010000,"Lady Temple at Sam Mountain, Can Tho International Airport, Hội Quán Châu Đốc",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOz9OJWfT3AU46yU3O8a9AjkEdfDLiT22n7bac=s10000, https://images.trvl-media.com/lodging/49000000/48190000/48184800/48184764/c27012c5_z.jpg, https://lh5.googleusercontent.com/p/AF1QipPKBz5BgYABaWGmYnuDalSQLG-BDeY5d1quhwg=s10000, https://lh5.googleusercontent.com/p/AF1QipPiWzf3j9qS85iUbyqUIwtWBfhDPiMUc7QB8-U=s10000, https://lh5.googleusercontent.com/p/AF1QipM_U3lpdSDOhtLcRbjITTC1Kfa2MWBGedICrwE=s10000, https://images.trvl-media.com/lodging/49000000/48190000/48184800/48184764/9c425fba_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOM-ldP4QiUu_U0stp50kUth8EMA01_UBW3BVE=s10000, https://lh5.googleusercontent.com/p/AF1QipMbZDAm-xNOUfs8BYC_hpg_Yyv9wV3_36-pXiY=s10000, https://lh5.googleusercontent.com/p/AF1QipMUYv4zkQP-9NsYnTPHnN58mdqdSwgXUkKOEhM=s10000",4.2
Hostel Thanh Xuan,No link,No description,61006225000,"Long Xuyen Floating Market, Can Tho International Airport, Quán Hải Sản Minh Mực",No class,"https://lh5.googleusercontent.com/p/AF1QipN0NQ6_LHmRc-FKRxAV3fwWZtTmNcH5pk71a05X=s10000, https://lh5.googleusercontent.com/p/AF1QipNuPZai9gSb-0OjpjKWlGsUmt3HAlDkOEG9qVJS=s10000, https://lh5.googleusercontent.com/p/AF1QipN4VcTR6mJvMaCAx3ifui9SyudwHCU5UOO9eDsf=s10000, https://lh5.googleusercontent.com/p/AF1QipNvlhtVvV_jgPEhFLvqDBvukBAUdgDr7DzhFMww=s10000, https://lh5.googleusercontent.com/p/AF1QipNz_doClOXVluYOqLT6NXYs-4G4nrFafoitdqar=s10000, https://lh5.googleusercontent.com/p/AF1QipOB_vouTF3OxCclSqwpVnL9Dx_2D1Cub_gwzXoI=s10000, https://lh5.googleusercontent.com/p/AF1QipN5CYCq51DuHN2Z54JdsvpYNBJt_1o99ZNCJ1Zx=s10000, https://lh5.googleusercontent.com/p/AF1QipO_islilwZ57Mr09_OHSXWz89cWtj86QoCtg5TU=s10000, https://lh5.googleusercontent.com/p/AF1QipOCbZO9Xxm7BBp0AGDJnaLNU36QlYXFuqtHMAGq=s10000",3.8
RIVER HOTEL,No link,No description,0,"Long Xuyen Floating Market, Can Tho International Airport, Tiệm Nhà Anna",No class,"https://lh5.googleusercontent.com/p/AF1QipNpXhs4iaCBpv2YqSh_J7jHonL1Uy7GroW0VGBz=s10000, https://lh5.googleusercontent.com/p/AF1QipPq0fpxnPX7UpSb7inKYy54mJ02fnhnBJsSqwWw=s10000, https://lh5.googleusercontent.com/p/AF1QipNX2aQT8ryTf3Fefen0QWzme-eOPvxsD2vh687e=s10000, https://lh5.googleusercontent.com/p/AF1QipOBldJQMS6yYIfbnVOgPrN7A0AVTM3BxHwpSiZh=s10000, https://lh5.googleusercontent.com/p/AF1QipNEMc37BCYvBTdVShGIJEeP-W7cByfDbE56ScNk=s10000, https://lh5.googleusercontent.com/p/AF1QipPuZnamvBHy95vOBDyhEfXeXOd9KVdrliFk7XPm=s10000, https://lh5.googleusercontent.com/p/AF1QipPAY7lxNjwlJ2PIm_1ADlZVkC2-8Hlrk0xjHLc1=s10000, https://lh5.googleusercontent.com/p/AF1QipMe5gg17ttq9FdvziBSbIqLZL-wt1YvzvQim6vx=s10000, https://lh5.googleusercontent.com/p/AF1QipPCbsuAwBixz-yqiumKr1nxQYxK8rV_XIHyUkgJ=s10000",2.8
LÚA FARMSTAY - Khu Nghỉ Dưỡng Sinh Thái,https://www.facebook.com/Luafarmstay?mibextid=LQQJ4d,No description,107163000000,"Tan Son Nhat International Airport, Sông Ray Quán",No class,"https://lh5.googleusercontent.com/p/AF1QipPq7hNxlShDn0W4hVOQ2HDIGuqBU8xCI9K7yZXa=s10000, https://lh5.googleusercontent.com/p/AF1QipNLYpy67cTWPi_zRO-LeUhhkaIsIru66FFmx_iE=s10000, https://lh5.googleusercontent.com/p/AF1QipOkDuv2Krm3jwCTcTXkr7D7WYYmcdtajJlq3GNb=s10000, https://lh5.googleusercontent.com/p/AF1QipNZ5B6g1Fvedht0WmuY3qifb57c2T8BVU5jeKg1=s10000, https://lh5.googleusercontent.com/p/AF1QipMT2zTgKtio-VAJmhYW-NE4MYIQygMfpnhNICUx=s10000, https://lh5.googleusercontent.com/p/AF1QipPRDjJ03E7rO7zTi88R1JTgB81RaarEZrSyrHIh=s10000, https://lh5.googleusercontent.com/p/AF1QipM9BUdA7snE_BPDXogXWfcNvo62o0I5gxUHdm0S=s10000, https://lh5.googleusercontent.com/p/AF1QipMJ0_zg3SkbbPIn95R__jgHzvPnY_cJ7AY5opXJ=s10000, https://lh5.googleusercontent.com/p/AF1QipMrJj_V_z8N-MakO_18cacYCC1WpHmg3zdrOrEY=s10000",2.9
